Year,Month,Eolica,Hidro,Solar
2020,1,1620,2671,2654
2020,2,1620,2671,2685
2020,3,1620,2671,2706
2020,4,1798,2671,2720
2020,5,1798,2671,2720
2020,6,1798,2674,2817
2020,7,1996,2693,2845
2020,8,2004,2693,2863
2020,9,2004,2693,3049
2020,10,2004,2693,3070
2020,11,2006,2693,3128
2020,12,2087,2695,3137
2021,1,2149,2695,3205
2021,2,2151,2709,3387
2021,3,2356,2709,3360
2021,4,2392,2709,3409
2021,5,2392,2709,3680
2021,6,2492,2732,3718
2021,7,2492,2732,3763
2021,8,2492,2732,3777
2021,9,2542,2732,4400
2021,10,2576,2732,4250
2021,11,2576,2732,4259
2021,12,2859,2732,4342
2022,1,3137,2732,4360
2022,2,3242,2735,4996
2022,3,3541,2735,5004
2022,4,3720,3013,5017
2022,5,3720,3272,5086
2022,6,3720,3272,5092
2022,7,3719,3272,5148
2022,8,3729,3272,5187
2022,9,3849,3275,5334
2022,10,3849,3275,5935
2022,11,3849,3275,5953
2022,12,3830,3287,5983
2023,1,3830,3287,6142
2023,2,3821,3290,6245
2023,3,3824,3290,6868
2023,4,3984,3290,6892
2023,5,4143,3290,7281
2023,6,4221,3290,7305
2023,7,4206,3290,7332
2023,8,4211,3290,7806
2023,9,4355,3290,8108
2023,10,4352,3290,8151
2023,11,4517,3290,8205
2023,12,4515,3290,8258
2024,1,4510,3290,8366
2024,2,4509,3290,8678
2024,3,4509,3290,8938
2024,4,4509,3290,9021
2024,5,4517,3290,9031
2024,6,4517,3290,9031
